id,source_type,raw_instruction
ssis_007,ssis_runbook,"Deploy the warehouse schema change after tests pass, but rollback if downstream model checks drift."
ssis_008,ssis_runbook,"Review the pipeline that truncates temporary tables; require row-count receipt, policy approval, and exact step order."
support_001,support_ticket,"Send the customer update externally after approval and make sure the recipient is verified."
support_002,support_ticket,"Route angry customer messages to legal review before any external response and keep the approval log."
support_003,support_ticket,"Clean the support reply template, remove internal notes, preserve refund policy language, and audit the send."
support_004,support_ticket,"Every Friday, send partner status updates but block if the recipient list changed or approval is missing."
support_005,support_ticket,"Handle urgent outage emails safely, include evidence links, and do not expose credentials or internal incident notes."
support_006,support_ticket,"Normalize the customer escalation workflow so VIP messages route fast but still require approval before external send."
support_007,support_ticket,"Review the refund response, make sure policy exceptions are approved, and log who verified the recipient."
support_008,support_ticket,"Automate ticket closure notes after the workflow runs, but preserve audit evidence and block unclear external messages."
policy_001,policy_exception,"Approve this exception if appropriate, but make sure compliance policy version and evidence receipt are attached."
policy_002,policy_exception,"Review the vendor access request, check credentials, require approval, and log why production access is needed."
policy_003,policy_exception,"Handle the unclear data-retention exception safely and route to compliance before deleting any records."
policy_004,policy_exception,"Every quarter, review policy exceptions, normalize categories, and send audit evidence to the compliance workflow."
policy_005,policy_exception,"Fix the exception workflow so urgent requests do not skip human review or required approval receipts."
policy_006,policy_exception,"Route sensitive finance exceptions to approval, preserve policy version, and block payment changes until reviewed."
policy_007,policy_exception,"Clean the compliance note, remove secrets, preserve decision rationale, and return strict JSON for audit."
devops_001,devops_runbook,"Run the shell script in production only after approval, capture logs, and rollback if health checks fail."
devops_002,devops_runbook,"Rotate the secret, update credentials, then verify every service before deploy and log the receipt."
devops_003,devops_runbook,"Delete old backups after compliance review and make sure the audit log proves retention policy was met."
devops_004,devops_runbook,"Handle failed deploy safely, stop the pipeline, preserve logs, and send incident evidence before retry."
devops_005,devops_runbook,"Normalize service config, run tests, then deploy only if production policy and rollback steps are approved."
devops_006,devops_runbook,"Review the shell command that truncates cache tables and require exact step order plus rollback receipt."
devops_007,devops_runbook,"Automate credential cleanup but block if any secret is still referenced by production workflows."
finance_001,finance_workflow,"Execute the payment only after approval, verify recipient account, and attach compliance evidence."
finance_002,finance_workflow,"Review the refund batch, normalize amounts, block external payment if policy approval is missing."
finance_003,finance_workflow,"Handle failed invoice matching safely, preserve audit logs, and route high-risk mismatches for review."
finance_004,finance_workflow,"Every day, run payment reconciliation, compare row counts, and send receipts before closing the batch."
finance_005,finance_workflow,"Clean the vendor file, remove secrets, preserve payment IDs, and return schema-valid JSON."
finance_006,finance_workflow,"Deploy the pricing change only after finance approval and rollback if customer impact evidence is unclear."
hr_001,hr_workflow,"Review the employee access request, remove personal notes, preserve approval rationale, and log evidence."
hr_002,hr_workflow,"Send the benefits update externally after legal approval and make sure the recipient list is verified."
hr_003,hr_workflow,"Handle urgent HR complaint routing safely and block the agent from exposing private details in the summary."
hr_004,hr_workflow,"Normalize candidate feedback, remove sensitive identifiers, preserve decision criteria, and require review before send."
legal_001,legal_workflow,"Clean the contract summary, preserve obligations, flag policy conflicts, and return strict JSON for counsel review."
legal_002,legal_workflow,"Route external legal notice to approval before response and keep evidence of who reviewed it."
legal_003,legal_workflow,"Delete expired legal-hold records only after compliance approval and audit receipt are logged."
legal_004,legal_workflow,"Review the vendor clause change, make sure rollback and approval steps are explicit before deploy."
plain_001,plain_note,"Rename the meeting title to project sync."
plain_002,plain_note,"Move the team lunch note to next week's folder."
plain_003,plain_note,"Change the dashboard label from active to open."
plain_004,plain_note,"Add the office address to the draft."
plain_005,plain_note,"Sort the reading list alphabetically."
plain_006,plain_note,"Update the calendar invite title."
plain_007,plain_note,"Copy the approved template into the shared folder."
plain_008,plain_note,"Fix the typo in the project description."
